No,Date,Open,Close,High,Low,Amount,Volume
0,1663196400,20296.7,20289.3,20312.8,20280,62.01230988,1258665.30934067
1,1663197300,20292.2,20243.8,20292.2,20230,75.39843622,1527845.45349356
2,1663198200,20238.8,20262.2,20267.9,20219.1,90.41676422,1830627.355389297
3,1663199100,20262.2,20228.4,20278.1,20192.5,58.05996961,1174586.682688397
4,1663200000,20228.4,20249.3,20262.6,20192,89.69289082,1814341.063216237
5,1663200900,20251.5,20260.8,20269,20212.1,78.30426738,1585693.46682086
6,1663201800,20260.9,20176.8,20263.1,20165,116.40262327,2350211.447607444
7,1663202700,20176.8,20155.2,20196.8,20142.7,65.93090885,1329939.554607491
8,1663203600,20155.2,19964,20155.8,19964,197.31599448,3956337.061745586
9,1663204500,19964.1,20120.1,20127.5,19961,80.28232319,1610476.850400488
10,1663205400,20119.8,20145,20164,20087.9,95.14592723,1914997.449867406
11,1663206300,20146.7,20194.9,20194.9,20145.2,34.55145177,696735.6221047
12,1663207200,20194.9,20125.9,20194.9,20118,64.65822819,1302476.458114726
13,1663208100,20125.9,20057.5,20134.2,20016.5,96.74509228,1941798.527338635
14,1663209000,20057.8,20059.6,20101.2,20038.1,33.49178237,672388.15939153
15,1663209900,20058.5,20099.5,20107.9,20050,54.93760026,1102817.555095781
16,1663210800,20100,20005.8,20109.1,19927.2,196.09328804,3924998.003643532
17,1663211700,20005.9,20044.5,20079.8,19967.5,112.61189489,2255715.163463599
18,1663212600,20044.5,20007.9,20050,19984.1,50.85456537,1017681.672423204
19,1663213500,20008,20025.8,20056.8,19990,53.76112902,1076579.970995547
20,1663214400,20025.7,20034.8,20091,19987.8,79.90763011,1601340.686134349
21,1663215300,20034.7,20037.6,20055.9,20003.4,82.26046845,1647949.776606876
22,1663216200,20037.6,20007.7,20062.2,19959.9,92.96978044,1860614.05667195
23,1663217100,20007.7,20028.5,20062,20000,51.25242294,1026895.521882904
24,1663218000,20028.5,20020.7,20062.1,20006.4,45.54191165,912398.092446033
25,1663218900,20020.7,20105,20105,20020.7,44.05890829,884125.431531751
26,1663219800,20104.9,20095.7,20191.9,20092.6,94.87134784,1911756.33563316
27,1663220700,20094.1,20147.5,20154.9,20081.3,48.64932238,978944.65842163
28,1663221600,20149.9,20042.7,20155.3,19980,114.2205579,2291175.766050474
29,1663222500,20042.7,20087.4,20106.5,19987.9,96.74610434,1938816.241576384
30,1663223400,20087.5,20120,20186,20002.4,384.5520301,7727482.256968212
31,1663224300,20115,20103.1,20312,20013.2,376.09974078,7589335.462209224
32,1663225200,20103.1,20217,20217,20068.6,158.32612903,3190015.340227904
33,1663226100,20216.9,20215.6,20329.7,20198.6,158.91540472,3221484.051880036
34,1663227000,20215.6,20157.7,20226.4,20122.4,78.13010636,1575955.248363653
35,1663227900,20157.8,20204.4,20226,20136.6,87.69583603,1770026.39424069
36,1663228800,20204.3,20150.1,20219.9,20140.8,99.7298448,2012066.583712853
37,1663229700,20150.2,20034.2,20159.1,20026,81.58502366,1638179.675642858
38,1663230600,20034.2,20108.2,20121.2,20028.5,48.98903935,984274.31454723
39,1663231500,20108.3,20153.3,20169,20041.3,66.99831978,1347749.918396673
40,1663232400,20153.3,20134.9,20160.1,20108.1,47.77267852,961778.251206539
41,1663233300,20134.9,20063,20142.4,20054.9,85.22053114,1712664.607339726
42,1663234200,20062.9,20162.6,20195.5,20058.6,138.16321726,2782855.217096662
43,1663235100,20162.2,20131.2,20166.3,20113,37.68765751,759032.585770013
44,1663236000,20131.3,20173.1,20180,20102.2,33.56332336,676205.458146512
45,1663236900,20173,20191.5,20208.4,20168.7,42.05686811,848957.986974787
46,1663237800,20191.5,20131.7,20191.5,20104.3,53.5385969,1078185.392407039
47,1663238700,20131.7,20152.7,20157.6,20116.6,50.34227999,1013776.05821663
48,1663239600,20152.6,20113.4,20163.9,20084.6,64.8461313,1303983.926400196
49,1663240500,20113.4,20183.9,20198.6,20113.4,79.77305467,1608378.319215816
50,1663241400,20183.8,20146.1,20193.5,20135.4,48.01949407,968504.282235019
51,1663242300,20144.5,20146.5,20160,20140.2,33.44545944,674000.097833038
52,1663243200,20146.6,20159.3,20170,20120.3,49.0047525,986765.140854513
53,1663244100,20159.4,20079.4,20161.3,20061.1,51.84982912,1043027.915324354
54,1663245000,20079.4,20131.3,20191,20071.2,149.09468077,2999813.248797862
55,1663245900,20131.3,20122.7,20161.3,20116.5,56.99061628,1147832.433783562
56,1663246800,20122.7,20121.2,20137.7,20090.7,50.07621219,1007141.830536728
57,1663247700,20121.3,20022.1,20136.6,19991,137.95427355,2763812.503716616
58,1663248600,20025.1,20058.1,20091,19988.9,150.71645407,3019915.099465789
59,1663249500,20057.6,20116.1,20144,20045.1,76.84913097,1544423.640489441
60,1663250400,20116.1,20116.9,20160,20100.3,81.84402532,1647360.317599637
61,1663251300,20115.4,20035.8,20173.3,20026,101.22516105,2035414.8613561
62,1663252200,20035.8,19831.4,20077.7,19761.7,421.29045421,8378934.465522987
63,1663253100,19835.2,19702.6,19918.3,19638.6,345.29789699,6816339.656851417
64,1663254000,19702.6,19670.9,19753.8,19610.4,200.87550582,3953992.835744665
65,1663254900,19668.8,19750.7,19786.4,19494.5,396.69324932,7783347.388780746
66,1663255800,19748.1,19806.6,19844,19721.6,113.25053814,2242828.867242333
67,1663256700,19806.7,19738.6,19837.9,19694.7,71.27736461,1408056.327861602
68,1663257600,19738.5,19659.7,19746.6,19641.9,87.60523163,1725737.737713538
69,1663258500,19659.7,19788.1,19822.8,19659.7,73.97911551,1461830.396668043
70,1663259400,19788.2,19850.1,19869.9,19783.2,117.00462435,2321354.302253556
71,1663260300,19850.1,19865.9,19866,19814,50.4644977,1001114.539009973
72,1663261200,19865.9,19874,19944.5,19857.8,99.8926324,1987707.614366122
73,1663262100,19876.7,19882.9,19925.3,19859.5,49.83890087,991395.78772695
74,1663263000,19882.9,19823.4,19885.8,19820,56.3231333,1118107.213496049
75,1663263900,19823.5,19827.7,19842.4,19791.2,40.96751268,811752.236771646
76,1663264800,19827.7,19804,19831.6,19744.2,60.10866419,1188651.629811198
77,1663265700,19801.8,19850.1,19850.1,19786.6,29.08178355,576340.290987245
78,1663266600,19850.1,19850.8,19876,19819.3,34.01769411,675220.963542748
79,1663267500,19850.8,19763.8,19850.8,19733,93.69059898,1852598.976859614
80,1663268400,19763.8,19715.6,19774.7,19700,47.98233708,946825.046413529
81,1663269300,19715.5,19709,19749,19670.1,64.78227798,1276874.729234802
82,1663270200,19709.1,19791,19800,19704,57.91312767,1144356.717347308
83,1663271100,19791,19782.6,19839.9,19752.4,102.96741366,2039170.065263922
84,1663272000,19782.6,19838.4,19846,19782.6,37.68350547,747261.088619524
85,1663272900,19838.4,19824.5,19846,19800.2,34.50900529,683839.191042689
86,1663273800,19824.4,19789.5,19824.5,19757,44.65699514,883316.943406798
87,1663274700,19789.6,19849.4,19854,19780.4,48.67879608,964496.262977358
88,1663275600,19849.3,19852.8,19855.4,19821.2,37.4868727,743585.677118957
89,1663276500,19852.8,19890.7,19892.8,19846.7,49.79262857,989429.070554475
90,1663277400,19890.8,19857.1,19890.9,19846,32.62697157,648076.839342762
91,1663278300,19857,19829.2,19858.7,19786,43.94889129,871241.946822342
92,1663279200,19829.2,19787.4,19829.2,19745,91.10721704,1802328.461101713
93,1663280100,19787.4,19785.4,19819.4,19748.2,104.51329548,2068310.340818621
94,1663281000,19785.4,19698.7,19807,19688.6,82.13361886,1621357.85612991
95,1663281900,19698.6,19729.3,19735.9,19582,136.26958246,2679416.212590862
96,1663282800,19727.8,19676.9,19756.4,19636,96.50449934,1900437.90860014
97,1663283700,19676.9,19708.5,19729.7,19638.2,52.63614003,1036261.974786516
98,1663284600,19708.6,19714.7,19727.1,19645.5,67.6742554,1332536.395900769
99,1663285500,19714.8,19700.6,19733.7,19655.6,51.45619868,1013333.043047242
100,1663286400,19701.8,19669.9,19729.6,19633.4,79.23710634,1560563.449993068
101,1663287300,19669.9,19759,19759,19585,138.27653484,2718274.203047075
102,1663288200,19758.9,19731.4,19780.5,19676.3,114.37612131,2257828.102939195
103,1663289100,19731.3,19785.9,19785.9,19713,43.71614084,863694.018555329
104,1663290000,19786,19783.5,19811.8,19758.2,44.92298372,888825.819683897
105,1663290900,19783.4,19791,19796.3,19758.7,22.29683788,441022.148248441
106,1663291800,19791,19761.5,19801.7,19752.2,23.03789031,455518.888074361
107,1663292700,19761.5,19728.9,19771.2,19707.1,26.08877064,514549.274111401
108,1663293600,19729,19712.2,19754.1,19708.4,34.01810588,671310.289467128
109,1663294500,19712.2,19735.1,19746.3,19701.6,27.17730843,536310.922262729
110,1663295400,19735.2,19689,19765.8,19679.6,50.26430632,991426.237620289
111,1663296300,19689,19750.6,19751.5,19679.5,25.76781142,508307.541102939
112,1663297200,19750.6,19703.2,19753.4,19692.1,27.19396659,536251.673356367
113,1663298100,19703.1,19730.1,19748.2,19699.6,22.45134302,442716.747806961
114,1663299000,19730,19727.3,19776,19724.1,22.51313348,444629.474587783
115,1663299900,19727.2,19747,19753.3,19713.3,13.02349649,257055.890272192
116,1663300800,19747,19834.6,19839.9,19744.1,63.01541775,1247302.35887623
117,1663301700,19834.6,19800,19834.6,19793.6,49.0293917,970813.807880924
118,1663302600,19800,19795.1,19810.8,19793.3,58.0716912,1149933.232835145
119,1663303500,19796.5,19820.8,19857,19792.9,62.78673213,1244149.446739563
120,1663304400,19820.8,19824.3,19839.9,19799.3,36.71977897,727849.785996877
